Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
SUPERGEMS NV,21343,Supergem,Round,0.820,D,VS2,Very Good,Excellent,Excellent,Medium,GIA,5236084608,500002305,,,,4104.0000,-0.2800,3365.2800,,Belgium,http://www.supergemsgroup.com/certificates/500002305.jpg,http://www.supergemsgroup.com/diamondphoto/500002305-P.jpg,73563113
SUPERGEMS NV,21343,Supergem,Round,1.010,H,VVS2,Very Good,Excellent,Very Good,None,GIA,2227988474,500002204,,,,5508.0000,-0.3200,5563.0800,,Belgium,http://www.supergemsgroup.com/certificates/500002204.jpg,http://www.supergemsgroup.com/diamondphoto/500002204-P.jpg,73563132
SUPERGEMS NV,21343,Supergem,Round,1.010,H,VS1,Excellent,Excellent,Excellent,None,GIA,2237083287,500002301,,,,5852.0000,-0.2300,5910.5200,,Belgium,http://www.supergemsgroup.com/certificates/500002301.jpg,http://www.supergemsgroup.com/diamondphoto/500002301-P.jpg,73563133
SUPERGEMS NV,21343,Supergem,Round,1.010,H,SI1,Excellent,Excellent,Excellent,None,GIA,6231162708,500002344,,,,5330.0000,-0.1800,5383.3000,,Belgium,http://www.supergemsgroup.com/certificates/500002344.jpg,http://www.supergemsgroup.com/diamondphoto/500002344-P.jpg,73563136
SUPERGEMS NV,21343,Supergem,Round,1.020,F,SI1,Excellent,Excellent,Excellent,None,GIA,2234162518,500002369,,,,6080.0000,-0.2000,6201.6000,,Belgium,http://www.supergemsgroup.com/certificates/500002369.jpg,http://www.supergemsgroup.com/diamondphoto/500002369-P.jpg,73563145
SUPERGEMS NV,21343,Supergem,Round,1.020,H,SI2,Excellent,Excellent,Excellent,None,HRD,16020953001,500002202,,,,3640.0000,-0.3500,3712.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002202.jpg,http://www.supergemsgroup.com/diamondphoto/500002202-P.jpg,73563147
SUPERGEMS NV,21343,Supergem,Round,1.060,H,SI1,Excellent,Excellent,Excellent,None,GIA,6232162777,500002345,,,,4680.0000,-0.2800,4960.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002345.jpg,http://www.supergemsgroup.com/diamondphoto/500002345-P.jpg,73563155
SUPERGEMS NV,21343,Supergem,Round,1.100,H,VS1,Excellent,Excellent,Excellent,Strong,GIA,6232083267,500002300,,,,4864.0000,-0.3600,5350.4000,,Belgium,http://www.supergemsgroup.com/certificates/500002300.jpg,http://www.supergemsgroup.com/diamondphoto/500002300-P.jpg,73563157
SUPERGEMS NV,21343,Supergem,Round,1.110,E,VVS1,Excellent,Excellent,Excellent,None,GIA,7236162705,500002370,,,,10143.0000,-0.3100,11258.7300,,Belgium,http://www.supergemsgroup.com/certificates/500002370.jpg,http://www.supergemsgroup.com/diamondphoto/500002370-P.jpg,73563158
SUPERGEMS NV,21343,Supergem,Round,1.220,G,SI2,Excellent,Excellent,Excellent,None,GIA,3235026696,500002288,,,,4720.0000,-0.2000,5758.4000,,Belgium,http://www.supergemsgroup.com/certificates/500002288.jpg,http://www.supergemsgroup.com/diamondphoto/500002288-P.jpg,73563166
SUPERGEMS NV,21343,Supergem,Round,1.230,K,VVS2,Excellent,Excellent,Excellent,Strong,GIA,6232184238,100124643,,,,3185.0000,-0.3500,3917.5500,,Belgium,http://www.supergemsgroup.com/certificates/100124643.jpg,http://www.supergemsgroup.com/diamondphoto/100124643-P.jpg,73563169
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,J,SI1,Excellent,Excellent,Excellent,None,HRD,14025376002,36127,4030.0000,-0.3500,6085.3000,,,,,Belgium,,,63363167
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,F,VVS2,Excellent,Very Good,Excellent,None,GIA,6232275305,HH3753,1606.0000,-0.3300,481.8000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH3753.PDF,,74181842
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,F,VVS2,Excellent,Very Good,Excellent,None,GIA,7226494708,HH2585,1606.0000,-0.3300,481.8000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH2585.PDF,,74181843
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,F,VVS2,Excellent,Excellent,Excellent,Faint,GIA,5236171137,HH3951,1582.0000,-0.3400,474.6000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH3951.PDF,,74181847
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,G,VS2,Very Good,Excellent,Excellent,None,GIA,1225770980,HH4353,1447.0000,-0.3110,434.1000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH4353.PDF,,74181857
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,G,SI1,Excellent,Very Good,Very Good,None,GIA,2236242526,HH3645,1271.0000,-0.3310,381.3000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH3645.PDF,,74181858
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.300,H,VS2,Excellent,Very Good,Excellent,None,GIA,2228698429,HH4379,1418.0000,-0.2910,425.4000,,,,,Belgium,http://88.85.90.134/disimage/cert/HH4379.PDF,,74181861
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.310,D,VVS2,Excellent,Excellent,Excellent,Faint,GIA,7222771776,HH4025,1734.0000,-0.3800,537.5400,,,,,Belgium,http://88.85.90.134/disimage/cert/HH4025.PDF,,74181866
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.310,E,VVS2,Excellent,Excellent,Excellent,None,GIA,3225673417,HH4297,1648.0000,-0.3400,510.8800,,,,,Belgium,http://88.85.90.134/disimage/cert/HH4297.PDF,,74181868
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.310,G,VS2,Good,Very Good,Very Good,None,GIA,7236242445,HH3644,1384.0000,-0.3410,429.0400,,,,,Belgium,http://88.85.90.134/disimage/cert/HH3644.PDF,,74181881
DIAMANTAIRE Bvba,74426,DMTAIRE,Round,0.310,G,SI1,Very Good,Excellent,Very Good,None,GIA,1223697534,HH4361,1271.0000,-0.3310,394.0100,,,,,Belgium,http://88.85.90.134/disimage/cert/HH4361.PDF,,74181883
SUPERGEMS NV,21343,Supergem,Round,1.510,H,VS1,Excellent,Excellent,Excellent,None,GIA,7232162728,500002356,,,,7056.0000,-0.2800,10654.5600,,Belgium,http://www.supergemsgroup.com/certificates/500002356.jpg,http://www.supergemsgroup.com/diamondphoto/500002356-P.jpg,73563178
SUPERGEMS NV,21343,Supergem,Round,2.010,E,VS1,Very Good,Excellent,Excellent,Strong,GIA,7238086664,500002292,,,,10488.0000,-0.5400,21080.8800,,Belgium,http://www.supergemsgroup.com/certificates/500002292.jpg,http://www.supergemsgroup.com/diamondphoto/500002292-P.jpg,73563199
SUPERGEMS NV,21343,Supergem,Round,2.010,I,VVS2,Very Good,Excellent,Very Good,None,GIA,3235191357,100124633,,,,8418.0000,-0.3100,16920.1800,,Belgium,http://www.supergemsgroup.com/certificates/100124633.jpg,http://www.supergemsgroup.com/diamondphoto/100124633-P.jpg,73563201
SUPERGEMS NV,21343,Supergem,Round,2.220,J,SI1,Excellent,Excellent,Excellent,None,GIA,7233219096,100125038,,,,6225.0000,-0.2500,13819.5000,,Belgium,http://www.supergemsgroup.com/certificates/100125038.jpg,http://www.supergemsgroup.com/diamondphoto/100125038-P.jpg,73563211
SUPERGEMS NV,21343,Supergem,Round,0.710,D,VS2,Very Good,Excellent,Excellent,Faint,GIA,6231083921,200000224,,,,3477.0000,-0.3900,2468.6700,,Belgium,http://www.supergemsgroup.com/certificates/200000224.jpg,http://www.supergemsgroup.com/diamondphoto/200000224-P.jpg,73399177
